imdb_id,director,plot,box_office,poster_url,runtime_minutes,metascore,imdb_rating,movieId,title,release_year,status
tt0112896,Mel Brooks,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"$10,772,144",https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_SX300.jpg,88 min,,5.9,12,Dracula: Dead and Loving It (1995),1995.0,success
tt0112453,Simon Wells,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.","$11,348,324",https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_SX300.jpg,78 min,,7.1,13,Balto (1995),1995.0,success
tt0113987,Oliver Stone,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","$13,681,765",https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_SX300.jpg,192 min,66.0,7.0,14,Nixon (1995),1995.0,success
tt0112760,Renny Harlin,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,"$10,017,322",https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_SX300.jpg,124 min,37.0,5.7,15,Cutthroat Island (1995),1995.0,success
tt0112641,Martin Scorsese,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","$42,512,375",https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_SX300.jpg,178 min,73.0,8.2,16,Casino (1995),1995.0,success
tt0114388,Ang Lee,"In Georgian era England, wealthy Mr. Dashwood dies leaving his second wife and three daughters destitute. The ladies move to a modest cottage where the two older daughters vie for the attention of various suitors in search of true...","$43,182,776",https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@._V1_SX300.jpg,136 min,84.0,7.7,17,Sense and Sensibility (1995),1995.0,success
tt0113101,"Allison Anders, Alexandre Rockwell, Robert Rodriguez",Four interlocking tales that take place in a fading hotel on New Year's Eve.,"$4,257,354",https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_SX300.jpg,98 min,,6.7,18,Four Rooms (1995),1995.0,success
tt0112281,Steve Oedekerk,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","$108,385,533",https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@._V1_SX300.jpg,90 min,43.0,6.4,19,Ace Ventura: When Nature Calls (1995),1995.0,success
tt0113845,Joseph Ruben,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.","$35,431,113",https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@._V1_SX300.jpg,110 min,,5.7,20,Money Train (1995),1995.0,success
tt0113161,Barry Sonnenfeld,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,"$72,101,622",https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,105 min,81.0,6.9,21,Get Shorty (1995),1995.0,success
tt0112722,Jon Amiel,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,"$32,051,917",https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_SX300.jpg,123 min,54.0,6.6,22,Copycat (1995),1995.0,success
tt0112401,Richard Donner,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"$30,303,072",https://m.media-amazon.com/images/M/MV5BYjRmZDUzZTctMzkyMi00ZDY1LTk2MDgtMDI0MTM4ZTYzOWI4XkEyXkFqcGc@._V1_SX300.jpg,133 min,,6.3,23,Assassins (1995),1995.0,success
tt0114168,Victor Salva,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,"$30,862,156",https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@._V1_SX300.jpg,111 min,,6.6,24,Powder (1995),1995.0,success
tt0113627,Mike Figgis,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","$32,029,928",https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,111 min,82.0,7.5,25,Leaving Las Vegas (1995),1995.0,success
tt0114057,Oliver Parker,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.","$2,844,379",https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_SX300.jpg,123 min,,6.8,26,Othello (1995),1995.0,success
tt0114011,Lesli Linka Glatter,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at twelve years could possibly have become the women they are now.,"$27,112,329",https://m.media-amazon.com/images/M/MV5BZjg1Zjg4NjItNDk1My00ZTEwLWJkZjMtOGZiNmE2OTQ1NTI4XkEyXkFqcGc@._V1_SX300.jpg,102 min,50.0,6.8,27,Now and Then (1995),1995.0,success
tt0114117,Roger Michell,"Theatrical film of ""Persuasion"" with Ciaran Hinds and Amanda Root. Directed by Roger Michell.","$5,269,757",https://m.media-amazon.com/images/M/MV5BOGM1Mjk1Y2EtMDBiMy00MDAxLWI0NmEtNzExYjM4NDVmZDZjXkEyXkFqcGc@._V1_SX300.jpg,103 min,,7.7,28,Persuasion (1995),1995.0,success
tt0112792,John N. Smith,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.","$84,919,401",https://m.media-amazon.com/images/M/MV5BODc5ZDI2ZDYtYjZiMy00MzZjLWEwNWUtNTljNDEwYWQ3YjQ5XkEyXkFqcGc@._V1_SX300.jpg,99 min,46.0,6.5,31,Dangerous Minds (1995),1995.0,success
tt0112431,Chris Noonan,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...","$63,658,910",https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@._V1_SX300.jpg,91 min,83.0,6.9,34,Babe (1995),1995.0,success
tt0112818,Tim Robbins,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","$39,363,635",https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,122 min,80.0,7.5,36,Dead Man Walking (1995),1995.0,success
tt0113442,Andy Tennant,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.","$19,474,589",https://m.media-amazon.com/images/M/MV5BMTQ3YTE5NmItNTRjNC00NjdlLTgwNmYtNDRkNmJiZjZiNGE3XkEyXkFqcGc@._V1_SX300.jpg,101 min,45.0,6.0,38,It Takes Two (1995),1995.0,success
tt0112697,Amy Heckerling,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","$56,631,572",https://m.media-amazon.com/images/M/MV5BMTgwYjQ1NDktOTcwNi00MWZhLTliYWQtZDg5NjZhY2U5ZTNlXkEyXkFqcGc@._V1_SX300.jpg,97 min,73.0,6.9,39,Clueless (1995),1995.0,success
tt0112749,Darrell Roodt,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.","$670,727",https://m.media-amazon.com/images/M/MV5BZjQ1M2Y2ZTgtN2U3OS00YTUxLTgwZmUtNjk1YTdjYTdmYWQzXkEyXkFqcGc@._V1_SX300.jpg,106 min,71.0,6.8,40,"Cry, the Beloved Country (1995)",1995.0,success
tt0114279,Richard Loncraine,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,"$2,684,904",https://m.media-amazon.com/images/M/MV5BMWZjODNlYzAtNWIxZC00ZWRkLWFlMjctZGVlMDYxZTU1MGM1XkEyXkFqcGc@._V1_SX300.jpg,104 min,86.0,7.3,41,Richard III (1995),1995.0,success
tt0112819,"Albert Hughes, Allen Hughes","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","$24,147,179",https://m.media-amazon.com/images/M/MV5BNTUzZTczZGItNjY4My00YTIyLTgyODYtNjFmNDY2ZWJlNTlmXkEyXkFqcGc@._V1_SX300.jpg,119 min,,6.9,42,Dead Presidents (1995),1995.0,success
tt0114272,Michael Hoffman,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","$4,005,941",https://m.media-amazon.com/images/M/MV5BOWZjM2NjM2EtMDkyNi00ODFiLWIwMTktM2JmMzUxODQ3YmRlXkEyXkFqcGc@._V1_SX300.jpg,117 min,66.0,6.6,43,Restoration (1995),1995.0,success
tt0113855,Paul W.S. Anderson,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,"$70,454,098",https://m.media-amazon.com/images/M/MV5BNjQyYjJjMzEtZTYzYy00ZjFmLTlkNTktNDI5ZjIwNTAxOWE0XkEyXkFqcGc@._V1_SX300.jpg,101 min,60.0,5.8,44,Mortal Kombat (1995),1995.0,success
tt0114681,Gus Van Sant,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,"$21,284,514",https://m.media-amazon.com/images/M/MV5BZWJlODViYTUtMzY3MS00ZDRlLTkzODQtMDdiOTBiN2E0MDA5XkEyXkFqcGc@._V1_SX300.jpg,106 min,86.0,6.8,45,To Die For (1995),1995.0,success
tt0113347,Jocelyn Moorhouse,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,"$23,600,020",https://m.media-amazon.com/images/M/MV5BZjJhNDc5MDItNGQ3My00ODgxLWE0ZTEtZDYwMmUwNzRmMDZiXkEyXkFqcGc@._V1_SX300.jpg,117 min,,6.3,46,How to Make an American Quilt (1995),1995.0,success
tt0114148,"Mike Gabriel, Eric Goldberg",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"$141,579,773",https://m.media-amazon.com/images/M/MV5BY2ZlNTUxM2MtYmJhYS00Y2E5LTlmYTItZDhlNWJmMmRiYTYzXkEyXkFqcGc@._V1_SX300.jpg,81 min,59.0,6.7,48,Pocahontas (1995),1995.0,success
tt0114916,Patricia Rozema,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","$919,671",https://m.media-amazon.com/images/M/MV5BZjMxMDYyNjItYjAwYi00NmExLWFiOTEtZWYzOGUzNmY3NmI2XkEyXkFqcGc@._V1_SX300.jpg,94 min,,6.5,49,When Night Is Falling (1995),1995.0,success
tt0113819,Woody Allen,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","$6,468,498",https://m.media-amazon.com/images/M/MV5BNGY4MWQ2Y2QtMzliZC00NTc3LWJmMGYtMzUxYWI0YTFhYTY4XkEyXkFqcGc@._V1_SX300.jpg,95 min,59.0,7.0,52,Mighty Aphrodite (1995),1995.0,success
tt0110299,Gianni Amelio,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...","$438,483",https://m.media-amazon.com/images/M/MV5BMzgzODMwMWMtY2RhMi00OGEwLWFmNjktZmMxMTI1MzUzMTk1XkEyXkFqcGc@._V1_SX300.jpg,116 min,,7.4,53,Lamerica (1994),1994.0,success
tt0113158,Ulu Grosbard,Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,"$1,110,104",https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,115 min,81.0,6.5,55,Georgia (1995),1995.0,success
tt0113321,Jodie Foster,"After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dul...","$17,519,169",https://m.media-amazon.com/images/M/MV5BMDI1ZmZhMDQtMDZkMC00M2VlLWJjZDMtYmEyMWRiMDIwZGJiXkEyXkFqcGc@._V1_SX300.jpg,103 min,57.0,6.6,57,Home for the Holidays (1995),1995.0,success
tt0116260,John Schlesinger,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","$26,877,589",https://m.media-amazon.com/images/M/MV5BYzg3MDc5ZWEtMTc3Ny00YWEzLTlmMTgtMjk3NGJjMmNjOTYyXkEyXkFqcGc@._V1_SX300.jpg,101 min,25.0,6.2,61,Eye for an Eye (1996),1996.0,success
tt0113862,Stephen Herek,A frustrated composer finds fulfillment as a high school music teacher.,"$82,569,971",https://m.media-amazon.com/images/M/MV5BZGJkOTFkYjEtNzg5Zi00NWIyLTkyN2QtMDExNjk1NTg1NTQ1XkEyXkFqcGc@._V1_SX300.jpg,144 min,59.0,7.3,62,Mr. Holland's Opus (1995),1995.0,success
tt0116126,Paris Barclay,"A parody of several U.S. films about being in the ""'hood"", for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995), and Juice (1992).","$20,109,115",https://m.media-amazon.com/images/M/MV5BZGM0NTAyMWEtNDBjNi00MjkwLWFhM2UtNDExNmVmMzEzNzExXkEyXkFqcGc@._V1_SX300.jpg,89 min,53.0,6.5,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996.0,success
tt0118002,Bill Bennett,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.","$10,658,278",https://m.media-amazon.com/images/M/MV5BYzRjYWVlNzEtZDRhMS00OGExLTk1MGEtOWU0NjRkM2ViNmYyXkEyXkFqcGc@._V1_SX300.jpg,96 min,30.0,5.3,64,Two if by Sea (1996),1996.0,success
tt0115683,Jason Bloom,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","$13,427,615",https://m.media-amazon.com/images/M/MV5BNGMxNGI5YWEtNzI5Yi00ZmY0LTk2NWQtMjk3MTRlNGZmMmQ1XkEyXkFqcGc@._V1_SX300.jpg,88 min,1.0,4.4,65,Bio-Dome (1996),1996.0,success
tt31915280,,,,,,,,66,Lawnmower Man 2: Beyond Cyberspace (1996),1996.0,success
tt0113118,F. Gary Gray,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.","$27,467,564",https://m.media-amazon.com/images/M/MV5BMWI3MmM2MTItN2MxZS00Y2NhLWE5ZWEtMzU3YWNiNmU3NmFmXkEyXkFqcGc@._V1_SX300.jpg,91 min,54.0,7.2,69,Friday (1995),1995.0,success
tt0116367,Robert Rodriguez,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","$25,836,616",https://m.media-amazon.com/images/M/MV5BZGNjMWMwNWEtYTQ2YS00N2E5LTg5ZWYtMDgzM2UxMTE1ZTE4XkEyXkFqcGc@._V1_SX300.jpg,108 min,48.0,7.2,70,From Dusk Till Dawn (1996),1996.0,success
tt0113010,Andrew Sipes,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","$11,534,477",https://m.media-amazon.com/images/M/MV5BMDc2MzAxOTktYWQ3Yy00NzJhLWFkNmQtN2QzMDFmMWYyODUxXkEyXkFqcGc@._V1_SX300.jpg,91 min,13.0,4.4,71,Fair Game (1995),1995.0,success
tt0113537,Noah Baumbach,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.","$718,490",https://m.media-amazon.com/images/M/MV5BNDY3NjUyODMtMGY5OS00M2Q1LTllOGItZGQ0YTFiNjhhNDZiXkEyXkFqcGc@._V1_SX300.jpg,96 min,75.0,6.6,72,Kicking and Screaming (1995),1995.0,success
tt0115644,Michael Goldenberg,Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,"$19,030,691",https://m.media-amazon.com/images/M/MV5BZTE2NjhiZDYtNDRjNS00NDY4LWI3ZmMtMWQyY2FlMmIxYzRlXkEyXkFqcGc@._V1_SX300.jpg,87 min,,6.1,74,Bed of Roses (1996),1996.0,success
tt0115676,Steve Miner,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.","$2,042,530",https://m.media-amazon.com/images/M/MV5BYTFmNTI5MGItMGMxZi00NjM2LWE0ZTUtMzQyMmVlOWMwZTJkXkEyXkFqcGc@._V1_SX300.jpg,90 min,,4.8,75,Big Bully (1996),1996.0,success
tt0114367,Christian Duguay,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...","$5,711,695",https://m.media-amazon.com/images/M/MV5BMmVkMjcwMjktOGY2MC00ZGFkLWI1NWQtYTJjNTk2N2U0NWZmXkEyXkFqcGc@._V1_SX300.jpg,108 min,,6.3,76,Screamers (1995),1995.0,success
tt0113973,Susanne Ofteringer,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...","$306,691",https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_SX300.jpg,67 min,,7.2,77,Nico Icon (1995),1995.0,success
tt0114660,Gary Fleder,Five different criminals face imminent death after botching a job quite badly.,"$529,766",https://m.media-amazon.com/images/M/MV5BMDEzMzQ0YTctYTg0Ny00Y2MxLWE1ZjAtNzQwMjVmNWQxZTIwXkEyXkFqcGc@._V1_SX300.jpg,115 min,46.0,6.7,81,Things to Do in Denver When You're Dead (1995),1995.0,success
tt0114039,Tim Reid,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,"$2,291,255",https://m.media-amazon.com/images/M/MV5BY2VmOWI4MzMtZmExYy00ZjNhLTk1Y2YtN2Q2ODkwMWViNDNkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,115 min,,7.4,83,Once Upon a Time... When We Were Colored (1995),1995.0,success
tt0112365,Philip Haas,In the 1800s a naturalist marries into a family of British country gentry.,"$3,414,301",https://m.media-amazon.com/images/M/MV5BZjZkYTk4ZjEtMWRmNi00MzM5LThlNTItZThhNzFlMzc1NDIwXkEyXkFqcGc@._V1_SX300.jpg,116 min,,6.8,85,Angels and Insects (1995),1995.0,success
tt0118158,Ridley Scott,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"$10,292,300",https://m.media-amazon.com/images/M/MV5BMGMwMzFjMjUtZTE4Yi00ZGQwLWFmMDItYzljOTc3YjUzZGI3XkEyXkFqcGc@._V1_SX300.jpg,129 min,53.0,6.6,86,White Squall (1996),1996.0,success
tt0116151,Ken Kwapis,A young boy befriends a larcenous orangutan in a luxury hotel.,"$9,871,065",https://m.media-amazon.com/images/M/MV5BYTkxZDlkNGUtNzFhMC00MWNkLTg4ZmMtMDFhZjNkOWQ1ZDdhXkEyXkFqcGc@._V1_SX300.jpg,88 min,54.0,5.4,87,Dunston Checks In (1996),1996.0,success
tt0115697,Penelope Spheeris,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,"$32,417,995",https://m.media-amazon.com/images/M/MV5BOTYyMWE0MDUtMjkwZi00ZDNiLTg0MjUtZWQ5ZjMxNzA1N2ZjXkEyXkFqcGc@._V1_SX300.jpg,87 min,34.0,6.2,88,Black Sheep (1996),1996.0,success
tt0113972,John Badham,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.","$8,175,346",https://m.media-amazon.com/images/M/MV5BM2JhN2NmYmQtNmE3OS00ZTE0LWI1YWUtMDY1YmRkY2QyNGExXkEyXkFqcGc@._V1_SX300.jpg,90 min,,6.3,89,Nick of Time (1995),1995.0,success
tt0117002,Stephen Frears,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.","$5,707,094",https://m.media-amazon.com/images/M/MV5BZmNhMzlkYTUtZWUyYS00MGZlLTkwMmMtYTA3MWNkMTA3MjdlXkEyXkFqcGc@._V1_SX300.jpg,108 min,44.0,5.8,92,Mary Reilly (1996),1996.0,success
tt0114825,Wes Craven,A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.,"$19,751,736",https://m.media-amazon.com/images/M/MV5BZTk1ZGQ4ZTUtMmQxZS00ODcxLTk3YjUtZDA0MWVhZWMyNGJmXkEyXkFqcGc@._V1_SX300.jpg,100 min,27.0,4.7,93,Vampire in Brooklyn (1995),1995.0,success
tt0115639,Ted Demme,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,"$10,597,759",https://m.media-amazon.com/images/M/MV5BZDJkZjZlY2UtZWY2ZC00NGIzLWI2N2MtMDNlNGVkMzM5NjVlXkEyXkFqcGc@._V1_SX300.jpg,112 min,65.0,7.1,94,Beautiful Girls (1996),1996.0,success
tt0115759,John Woo,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,"$70,770,147",https://m.media-amazon.com/images/M/MV5BMjkxMzA5ZWMtZWU0MS00MTBhLWFjNzItYWI2ZGU4YjE2MTc4XkEyXkFqcGc@._V1_SX300.jpg,108 min,61.0,6.1,95,Broken Arrow (1996),1996.0,success
tt0113283,Nick Broomfield,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...","$34,402",https://m.media-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1_SX300.jpg,106 min,,6.6,99,Heidi Fleiss: Hollywood Madam (1995),1995.0,success
tt0115907,Harold Becker,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.","$20,340,204",https://m.media-amazon.com/images/M/MV5BMTJhMTUwYzMtOTZmYy00ZDkyLThmM2QtNTdjOTgxNDI1OWZkXkEyXkFqcGc@._V1_SX300.jpg,111 min,62.0,6.2,100,City Hall (1996),1996.0,success
